Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
NIO EL8 Long Range,N/A,,https://ev-database.org/car/2223/NIO-EL8-Long-Range,Not Available,Since June 2024,Since June 2024,,,,,,,322 km,15 min,202 km,524 km,2h 56min,1h 50min,5h 1min,100.0 kWh,Lithium-ion,96,400 V,No Data,No Data,90.0 kWh,NMC,96s1p,No Data,No Data,No Data,CCS,Right Side - Front,11 kW AC,,880 km/h,240 kW DC,190 kW DC,Yes,No,-,Yes,Yes,4.1 sec,200 km/h,,480 kW (653 PS),850 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,487 km,223 Wh/km,185 Wh/km,2.5 l/100km,2.1 l/100km,5099 mm,1989 mm,2199 mm,1750 mm,3070 mm,2633 kg,3190 kg,632 kg,265 L,810 L,0 L,75 kg,Yes,750 kg,2000 kg,100 kg,6 people,"Yes, 4 seats",12.4 m,NIO NT2,Yes,SUV,JF - Luxury,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,207 Wh/km,281 Wh/km,240 Wh/km,143 Wh/km,222 Wh/km,180 Wh/km,,440 km,,,,,,,,,,,,,,,,,,,,,,9h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
VinFast VF 8 Eco Extended Range,N/A,,https://ev-database.org/car/1807/VinFast-VF-8-Eco-Extended-Range,Not Available,Since November 2023,Since November 2023,217 Wh/km,302 Wh/km,254 Wh/km,151 Wh/km,240 Wh/km,193 Wh/km,291 km,15 min,120 km,411 km,2h 39min,1h 6min,4h 0min,,Lithium-ion,No Data,400 V,10 years,"200,000 km",87.7 kWh,No Data,No Data,No Data,No Data,No Data,CCS,Left Side - Front,11 kW AC,,460 km/h,150 kW DC,105 kW DC,Yes,No,-,No Data,No Data,5.9 sec,200 km/h,405 km,260 kW (354 PS),500 Nm,AWD,No,-,-,-,No,No,No,No,405 km,217 Wh/km,0 g/km,2.4 l/100km,471 km,229 Wh/km,186 Wh/km,2.6 l/100km,2.1 l/100km,4750 mm,1934 mm,No Data,1667 mm,2950 mm,2530 kg,2905 kg,450 kg,376 L,1373 L,No Data,No Data,Yes,750 kg,1800 kg,No Data,5 people,No Data,No Data,No Data,No Data,SUV,JD - Large,Yes,Varies by country,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,76%,89%,2023,77%,79%,,,,,,,,,,,,,,,,,90.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
CUPRA Raval 85 kW - 37 kWh,N/A,,https://ev-database.org/car/3507/CUPRA-Raval-85-kW---37-kWh,Not Available,Expected July 2026,Not Available,161 Wh/km,224 Wh/km,185 Wh/km,104 Wh/km,172 Wh/km,135 Wh/km,168 km,15 min,52 km,220 km,1h 32min,29min,2h 16min,39.0 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",37.0 kWh,LFP,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,170 km/h,50 kW DC,30 kW DC,No,Yes,ISO 15118-2,Yes,Yes,11.0 sec,160 km/h,235 km,85 kW (116 PS),267 Nm,Front,No,-,-,-,No,No,No,No,235 km,157 Wh/km,0 g/km,1.8 l/100km,300 km,137 Wh/km,123 Wh/km,1.5 l/100km,1.4 l/100km,4046 mm,1784 mm,2000 mm,1514 mm,2599 mm,1568 kg,2000 kg,507 kg,441 L,No Data,0 L,0 kg,Yes,No Data,500 kg,No Data,5 people,"Yes, 3 seats",10.9 m,VAG MEB+,Yes,Hatchback,B - Compact,No,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Smart EQ fortwo coupe,N/A,,https://ev-database.org/car/1230/Smart-EQ-fortwo-coupe,Jan 2020 - Apr 2023,Jan 2020 - Apr 2023,Jan 2020 - May 2023,,,,,,,71 km,N/A,N/A,71 km,39min,N/A,39min,17.6 kWh,Lithium-ion,No Data,400 V,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,-,-,4.6 kW AC,,-,-,-,No,No,-,No,No,11.6 sec,130 km/h,,60 kW (82 PS),160 Nm,Rear,No,-,-,-,No,No,No,No,,,0 g/km,,133 km,161 Wh/km,126 Wh/km,1.8 l/100km,1.4 l/100km,2695 mm,1663 mm,No Data,1555 mm,1873 mm,1095 kg,1310 kg,290 kg,260 L,350 L,No Data,0 kg,No Data,0 kg,0 kg,No Data,2 people,"Yes, 1 seat",7 m,No Data,No Data,Hatchback,A - Mini,No,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,16.7 kWh,,,,,,,,,,,159 Wh/km,239 Wh/km,196 Wh/km,104 Wh/km,186 Wh/km,145 Wh/km,,100 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,0,0
Ford Mustang Mach-E GT (MY21),N/A,,https://ev-database.org/car/1246/Ford-Mustang-Mach-E-GT,Nov 2021 - Apr 2022,Nov 2021 - Mar 2022,Jul 2021 - Apr 2022,,,,,,,297 km,15 min,91 km,388 km,2h 42min,49min,3h 46min,98.7 kWh,Lithium-ion,376,400 V,8 years,"160,000 km",88.0 kWh,No Data,94s4p,No Data,No Data,No Data,CCS,Left Side - Front,11 kW AC,,370 km/h,107 kW DC,84 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,4.4 sec,200 km/h,,358 kW (487 PS),860 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,500 km,200 Wh/km,176 Wh/km,2.2 l/100km,2.0 l/100km,4743 mm,1881 mm,2097 mm,1613 mm,2984 mm,2348 kg,2717 kg,444 kg,519 L,1420 L,100 L,0 kg,Yes,750 kg,750 kg,75 kg,5 people,"Yes, 2 seats",12.2 m,No Data,No Data,SUV,JD - Large,No,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,92%,86%,2021,69%,82%,,,212 Wh/km,298 Wh/km,251 Wh/km,148 Wh/km,235 Wh/km,189 Wh/km,,410 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Peugeot e-208 50 kWh (MY25),N/A,,https://ev-database.org/car/3222/Peugeot-e-208-50-kWh,Since May 2025,Since April 2025,Since April 2025,162 Wh/km,226 Wh/km,189 Wh/km,105 Wh/km,171 Wh/km,136 Wh/km,210 km,15 min,108 km,318 km,1h 55min,59min,3h 9min,50.0 kWh,Lithium-ion,216,400 V,8 years,"160,000 km",46.3 kWh,NMC622,108s2p,400 V,Prismatic,No Data,CCS,Left Side - Rear,7.4 kW AC,,440 km/h,101 kW DC,74 kW DC,Yes,No,-,Yes,No,9.0 sec,150 km/h,295 km,100 kW (136 PS),260 Nm,Front,No,-,-,-,No,No,No,No,295 km,157 Wh/km,0 g/km,1.8 l/100km,349 km,161 Wh/km,133 Wh/km,1.8 l/100km,1.5 l/100km,4055 mm,1745 mm,1960 mm,1430 mm,2540 mm,1530 kg,1910 kg,455 kg,309 L,1118 L,0 L,70 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",10.4 m,PSA e-CMP,No,Hatchback,B - Compact,No,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Voyah Courage 80 kWh RWD,N/A,,https://ev-database.org/car/3136/Voyah-Courage-80-kWh-RWD,Not Available,Since July 2025,Not Available,196 Wh/km,271 Wh/km,231 Wh/km,134 Wh/km,215 Wh/km,172 Wh/km,286 km,15 min,148 km,434 km,2h 36min,1h 21min,4h 12min,80.0 kWh,Lithium-ion,No Data,400 V,8 years,"200,000 km",77.3 kWh,LFP,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,530 km/h,200 kW DC,110 kW DC,Yes,No,-,No Data,No Data,6.8 sec,200 km/h,395 km,215 kW (292 PS),420 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,395 km,196 Wh/km,0 g/km,2.2 l/100km,476 km,183 Wh/km,162 Wh/km,2.1 l/100km,1.8 l/100km,4725 mm,1900 mm,No Data,1653 mm,2900 mm,2174 kg,2654 kg,555 kg,527 L,1400 L,0 L,75 kg,Yes,750 kg,1700 kg,140 kg,5 people,"Yes, 2 seats",No Data,No Data,No Data,SUV,JD - Large,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,90%,88%,2025,76%,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Fiat 500e 3+1 24 kWh,N/A,,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh,Not Available,Jul 2022 - Jan 2026,Not Available,158 Wh/km,224 Wh/km,185 Wh/km,104 Wh/km,170 Wh/km,137 Wh/km,97 km,15 min,55 km,153 km,53min,30min,1h 38min,23.8 kWh,Lithium-ion,108,400 V,8 years,"160,000 km",21.3 kWh,NMC,108s1p,400 V,Prismatic,No Data,CCS,Right Side - Rear,11 kW AC,,230 km/h,50 kW DC,40 kW DC,Yes,No,-,No,No,9.0 sec,135 km/h,135 km,70 kW (95 PS),220 Nm,Front,No,-,-,-,No,No,No,No,135 km,158 Wh/km,0 g/km,1.8 l/100km,190 km,130 Wh/km,112 Wh/km,1.5 l/100km,1.3 l/100km,3631 mm,1683 mm,1900 mm,1529 mm,2322 mm,1290 kg,No Data,No Data,185 L,550 L,0 L,No Data,No,0 kg,0 kg,0 kg,4 people,No Data,9.7 m,STLA City,No,Hatchback,B - Compact,No,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,76%,80%,2021,67%,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
BMW i4 eDrive40,N/A,,https://ev-database.org/car/2199/BMW-i4-eDrive40,Jun 2024 - Jul 2025,Jun 2024 - Jul 2025,Jun 2024 - Jul 2025,168 Wh/km,217 Wh/km,189 Wh/km,109 Wh/km,166 Wh/km,136 Wh/km,382 km,15 min,205 km,587 km,3h 28min,1h 52min,5h 35min,83.9 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",81.3 kWh,NMC,No Data,399 V,Prismatic,No Data,CCS,Right Side - Rear,11 kW AC,,770 km/h,205 kW DC,130 kW DC,Yes,Yes,ISO 15118-2 & -20,Yes,Yes,5.6 sec,190 km/h,515 km,250 kW (340 PS),430 Nm,Rear,No,-,-,-,No,No,No,No,515 km,158 Wh/km,0 g/km,1.8 l/100km,468 km,194 Wh/km,174 Wh/km,2.2 l/100km,2.0 l/100km,4783 mm,1852 mm,2073 mm,1448 mm,2856 mm,2125 kg,2605 kg,555 kg,470 L,1290 L,0 L,75 kg,Yes,750 kg,1600 kg,75 kg,5 people,"Yes, 2 seats",12.5 m,BMW CLAR,No,Liftback Sedan,D - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volvo EX30 Twin Motor Performance (MY24-26),N/A,,https://ev-database.org/car/1911/Volvo-EX30-Twin-Motor-Performance,Since June 2023,Jun 2023,Since June 2023,,,,,,,246 km,15 min,129 km,376 km,2h 14min,1h 11min,3h 40min,69.0 kWh,Lithium-ion,107,400 V,8 years,"160,000 km",65.0 kWh,NMC,107s1p,392 V,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,510 km/h,158 kW DC,101 kW DC,No,Limited,ISO 15118-2,Yes,Yes,3.6 sec,180 km/h,,315 kW (428 PS),543 Nm,AWD,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,,,0 g/km,,448 km,177 Wh/km,145 Wh/km,2.0 l/100km,1.6 l/100km,4233 mm,1837 mm,2032 mm,1549 mm,2650 mm,1960 kg,2335 kg,450 kg,318 L,904 L,7 L,75 kg,Yes,750 kg,1600 kg,100 kg,5 people,"Yes, 2 seats",10.6 m,Geely SEA2,Yes,SUV,JB - Compact,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,88%,85%,2024,79%,80%,,,191 Wh/km,265 Wh/km,224 Wh/km,130 Wh/km,210 Wh/km,167 Wh/km,,340 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Subaru E-Outback AWD (MY26),N/A,,https://ev-database.org/car/3506/Subaru-E-Outback-AWD,Not Available,Since March 2026,Not Available,192 Wh/km,268 Wh/km,225 Wh/km,131 Wh/km,212 Wh/km,169 Wh/km,266 km,15 min,134 km,400 km,2h 25min,1h 13min,3h 53min,74.7 kWh,Lithium-ion,No Data,400 V,8 years,"1,000,000 km",71.0 kWh,NMC,No Data,391 V,No Data,No Data,CCS,Left Side - Front,22 kW AC,,530 km/h,150 kW DC,110 kW DC,No Data,No,-,Yes,No Data,4.5 sec,180 km/h,370 km,280 kW (381 PS),536 Nm,AWD,No,-,-,-,No,No,No,No,370 km,192 Wh/km,0 g/km,2.2 l/100km,477 km,166 Wh/km,149 Wh/km,1.9 l/100km,1.7 l/100km,4845 mm,1860 mm,No Data,1675 mm,2850 mm,2105 kg,No Data,No Data,633 L,No Data,0 L,No Data,Yes,750 kg,1500 kg,75 kg,5 people,"Yes, 2 seats",No Data,Toyota e-TNGA,Yes,SUV,JD - Large,No,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
Volvo EX60 P12 AWD (MY27),N/A,,https://ev-database.org/car/3443/Volvo-EX60-P12-AWD,Since January 2026,Since January 2026,Since January 2026,188 Wh/km,255 Wh/km,217 Wh/km,128 Wh/km,198 Wh/km,160 Wh/km,445 km,15 min,297 km,742 km,4h 3min,2h 42min,7h 0min,117.0 kWh,Lithium-ion,No Data,800 V,8 years,"160,000 km",112.0 kWh,NMC,No Data,No Data,Prismatic,No Data,CCS,Left Side - Rear,22 kW AC,,1280 km/h,370 kW DC,250 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,3.9 sec,180 km/h,610 km,500 kW (680 PS),790 Nm,AWD,Yes,No Data,1 x Type 2 (Adapter),No Data,Yes,Announced,Yes,Announced,610 km,184 Wh/km,0 g/km,2.1 l/100km,810 km,160 Wh/km,138 Wh/km,1.8 l/100km,1.6 l/100km,4803 mm,1899 mm,2067 mm,1635 mm,2970 mm,2405 kg,2860 kg,530 kg,523 L,1674 L,52 L,100 kg,Yes,750 kg,2400 kg,100 kg,5 people,"Yes, 2 seats",11.3 m,Volvo SPA3,Yes,SUV,JD - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 hours,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
Polestar 3 Rear Motor (MY26),N/A,,https://ev-database.org/car/3326/Polestar-3-Rear-Motor,Since October 2025,Not Available,Not Available,200 Wh/km,279 Wh/km,235 Wh/km,138 Wh/km,220 Wh/km,176 Wh/km,317 km,15 min,203 km,520 km,2h 53min,1h 50min,4h 58min,92.0 kWh,Lithium-ion,No Data,800 V,8 years,"160,000 km",88.0 kWh,NMC,No Data,No Data,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,800 km/h,310 kW DC,170 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.5 sec,210 km/h,440 km,245 kW (333 PS),480 Nm,Rear,Announced,No Data,No Data,No Data,Announced,Announced,Announced,Announced,440 km,200 Wh/km,0 g/km,2.2 l/100km,604 km,176 Wh/km,146 Wh/km,2.0 l/100km,1.6 l/100km,4900 mm,1968 mm,2120 mm,1622 mm,2985 mm,2390 kg,No Data,No Data,484 L,1411 L,24 L,100 kg,Yes,750 kg,1500 kg,100 kg,5 people,"Yes, 2 seats",11.8 m,Volvo SPA2,Yes,SUV,JE - Executive,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Subaru Solterra AWD (MY22-25),N/A,,https://ev-database.org/car/1567/Subaru-Solterra-AWD,Since March 2023,Jun 2022 - Dec 2025,Since September 2022,200 Wh/km,284 Wh/km,237 Wh/km,136 Wh/km,221 Wh/km,175 Wh/km,228 km,15 min,109 km,337 km,2h 4min,59min,3h 18min,71.4 kWh,Lithium-ion,96,400 V,8 years,"160,000 km",64.0 kWh,NMC,96s1p,355 V,No Data,No Data,CCS,Left Side - Front,6.6 kW AC,,400 km/h,147 kW DC,85 kW DC,Yes,No,-,No,No,6.9 sec,160 km/h,320 km,160 kW (218 PS),336 Nm,AWD,No,-,-,-,No,No,No,No,320 km,200 Wh/km,0 g/km,2.2 l/100km,416 km,179 Wh/km,154 Wh/km,2.0 l/100km,1.7 l/100km,4690 mm,1860 mm,No Data,1650 mm,2850 mm,2085 kg,2550 kg,540 kg,441 L,784 L,0 L,80 kg,Yes,750 kg,750 kg,75 kg,5 people,"Yes, 2 seats",11.4 m,Toyota e-TNGA,Yes,SUV,JC - Medium,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,88%,87%,2022,79%,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,0,0
Tesla Model X P100D,N/A,,https://ev-database.org/car/1076/Tesla-Model-X-P100D,Jan 2017 - Feb 2019,Jan 2017 - Feb 2019,Jan 2017 - Feb 2019,,,,,,,302 km,15 min,112 km,413 km,2h 45min,1h 1min,4h 1min,100.0 kWh,Lithium-ion,No Data,400 V,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,Supercharger,Left Side - Rear,16.5 kW AC,,420 km/h,145 kW DC,100 kW DC,No,No,-,Yes,Yes,3.1 sec,250 km/h,,,,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,542 km,No Data,175 Wh/km,No Data,2.0 l/100km,5036 mm,2070 mm,No Data,1684 mm,2965 mm,2572 kg,3120 kg,623 kg,No Data,2492 L,No Data,0 kg,Yes,450 kg,2250 kg,No Data,7 people,"Yes, 4 seats",12.4 m,Tesla S/X,Yes,SUV,JF - Luxury,No,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,95.0 kWh,,500 kW (680 PS),967 Nm,,,,,,,,226 Wh/km,317 Wh/km,268 Wh/km,160 Wh/km,250 Wh/km,202 Wh/km,,420 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,0,0
